Access see Market access, EconomicOperand
inth century, EconomicOperand
number of bank branches, EconomicOperand
sovereign debt, EconomicOperand
fraud, EconomicOperand
Freddie Mac, USn,,,,,,,,,, EconomicOperand
free banking,, EconomicOperand
Freixas, Xavier, , EconomicOperand
Friedman, Milton,, EconomicOperand
FRM see fixed rate mortgages, EconomicOperand
FSA see Financial Services Authority, EconomicOperand
FSAP see Financial Services Action Plan, EconomicOperand
FSB see Financial Stability Board, EconomicOperand
FSF see Financial Stability Forum, EconomicOperand
FSLIC see Federal Savings and Loan Insurance Corporation, EconomicOperand
FSOC see Financial Stability Oversight Council, EconomicOperand
Funding for Lending Scheme (FLS), UK, EconomicOperand
funding technologies, EconomicOperand
futures,, EconomicOperand
G , EconomicOperand
and Lehman Brothers, EconomicOperand
G, , EconomicOperand
Cannes summit , EconomicOperand
countries insolvency frameworks, Tab.. , EconomicOperand
Las Cabos Summit , EconomicOperand
London summit, EconomicOperand
Pittsburgh summit, EconomicOperand
policy development, global level,, Tab.. , EconomicOperand
Seoul summit , EconomicOperand
SIFIs initiatives,Tab.. , EconomicOperand
Toronto summit , EconomicOperand
Washington summit,, EconomicOperand
and TBTF policy, EconomicOperand
see also Financial Stability Board (FSB); Financial Stability Forum (FSF), EconomicOperand
Garn-St. Germain Depository Institution Act US,,, EconomicOperand
Gazprombank, EconomicOperand
GE Capital Bank,,, EconomicOperand
General Motors,,, EconomicOperand
geographic diversification,,,,, EconomicOperand
Germany:, EconomicOperand
bank profitability, EconomicOperand
banking staff numbers, EconomicOperand
benefits of universal banking, EconomicOperand
Codetermination Act, EconomicOperand
diversification, EconomicOperand
economic crisis, EconomicOperand
hausbank system, EconomicOperand
industry financing,, EconomicOperand
Landesbanken, EconomicOperand
inth century,,, EconomicOperand
public credit registries, EconomicOperand
Gerschenkron, A.,,,,,,,, EconomicOperand
global financial crisis (GFC,,,,,,,,,,,,,,,,,, EconomicOperand
aftermath,, EconomicOperand
and bank lending in Asia,, Tab. A. Tab. A. , EconomicOperand
and Basel III, EconomicOperand
central banks, impact on, EconomicOperand
and CEO compensation, EconomicOperand
and contagion, EconomicOperand
crisis management, EconomicOperand
and deposit insurance, EconomicOperand
and diversification, EconomicOperand
and doubts about financial innovation, EconomicOperand
effects of corporate governance, EconomicOperand
and European banking,Tab.. , EconomicOperand
fallout, EconomicOperand
and foreclosures,, EconomicOperand
global characterization,, EconomicOperand
global impact, EconomicOperand
and herding, EconomicOperand
impact in Asia,, EconomicOperand
impact on securitization markets, EconomicOperand
innovation in LOLR, EconomicOperand
and Japanese banks, EconomicOperand
and large, diversified firms, EconomicOperand
and Latin America, , EconomicOperand
legacy, EconomicOperand
and LOLR policy , EconomicOperand
and market discipline, EconomicOperand
and mortgage-based securities (MBSs),, EconomicOperand
and non-traditional activities, EconomicOperand
regulatory responses,,,,,,,, EconomicOperand
and risk-measurement tools, EconomicOperand
risk management,, EconomicOperand
and securitization,,,,, EconomicOperand
and shareholder-oriented governance,, EconomicOperand
state-ownership as consequence of, EconomicOperand
systemic crises and contagion, EconomicOperand
three phases of, EconomicOperand
and transition countries, EconomicOperand
unintended consequences, EconomicOperand
US bank culpability, EconomicOperand
see also subprime mortgage crisis, EconomicOperand
Ghana, EconomicOperand
Gini coefficient, EconomicOperand
Ginnie Mae, US, EconomicOperand
giro credit transfers,,,, EconomicOperand
Glass, Senator Carter, EconomicOperand
Glass-Steagall Act (Banking Act of,,,,,,,,n,,,,, EconomicOperand
erosion of, EconomicOperand
partial relaxation , EconomicOperand
repeal,,,, EconomicOperand
Global Financial Inclusion Index (Global Findex), EconomicOperand
global games approaches,,, EconomicOperand
global systemically important banks (G-SIBs), EconomicOperand
and asymmetric information, EconomicOperand
bankruptcy complexity, EconomicOperand
and corporate complexity, EconomicOperand
corporate complexity and safety of the financial system, EconomicOperand
corporate complexity preferences, EconomicOperand
corporate structures and tax, EconomicOperand
customer concerns about conflicts of interest, EconomicOperand
global branch structures, EconomicOperand
and insolvency complexity, EconomicOperand
investment in management information systems, EconomicOperand
legacy of mergers and acquisitions, EconomicOperand
management issues, EconomicOperand
protecting the group from a risky subsidiary, EconomicOperand
protecting a subsidiary from the rest of the group, EconomicOperand
regulatory constraints, EconomicOperand
regulatory reform, EconomicOperand
risk shifting through subsidiaries, EconomicOperand
shareholders vs. creditors, EconomicOperand
shareholders vs. managers and internal agency problems, EconomicOperand
and special purpose vehicles (SPVs), EconomicOperand
subsidiary growth,Tab.. , EconomicOperand
and tax havens, EconomicOperand
globalizationn,,,, EconomicOperand
and G-SIBs, EconomicOperand
Goddard, John,, EconomicOperand
gold exchange standard, EconomicOperand
gold standard,,, EconomicOperand
Goldman Sachs,,,,,,, EconomicOperand
Gordy, Michael B.,, EconomicOperand
governance see corporate governance, EconomicOperand
Government National Mortgage Association (GNMA) see Ginnie Mae, EconomicOperand
government-sponsored enterprises (GSEs),,,,,,, EconomicOperand
Grameen Bank, EconomicOperand
Gramm-Leach-Bliley Act (GLB) US,,,,,,,,, EconomicOperand
Granger-causality network, EconomicOperand
Great Depression, US,,,,,,,,,,,, EconomicOperand
Great Inflations), EconomicOperand
Great Moderation, EconomicOperand
Greece:, EconomicOperand
bailout, EconomicOperand
number of bank branches, EconomicOperand
and sovereign debt crisis,,, EconomicOperand
Greenspan, Alan,,,,,, EconomicOperand
gridlock equilibrium, EconomicOperand
gross settlement see real-time gross settlement, EconomicOperand
GSEs see government-sponsored enterprises, EconomicOperand
G-SIBS see global systemically important banks, EconomicOperand
Gu, Xian,, EconomicOperand
Guinea, EconomicOperand
Habib Bank, EconomicOperand
Hagendorff, Jens,, EconomicOperand
Harman, Harriet, EconomicOperand
Hartman, Philipp,, EconomicOperand
Hasan, Iftekhar,, EconomicOperand
hausbank system, Germany, EconomicOperand
hedge funds,,,n,,,,,,,,,, EconomicOperand
hedging,,,,,,, EconomicOperand
Heitfield, Erik A.,, EconomicOperand
herd effect,, EconomicOperand
Herfindahl index,, EconomicOperand
Herfindahl-Hirschman Index (HHI),,,,,,, EconomicOperand
Heritage Foundation, EconomicOperand
Herring, Richard J.,, EconomicOperand
higher-risk investment strategies, EconomicOperand
High-Level Expert Group on Reforming the Structure of EU Banking Sector, EconomicOperand
high-quality liquid assets (HQLA),, EconomicOperand
Hoenig, Thomas, EconomicOperand
Hokkaido Takushoku Bank, EconomicOperand
Home Affordable Modification Program (HAMP), US, EconomicOperand
Home Owner’s Loan Corporation see Fannie Mae, EconomicOperand
Hong Kong,, EconomicOperand
Hong Kong Shanghai Banking Corporation (HSBC), EconomicOperand
Honohan, Patrick,, EconomicOperand
Hoover, President Herbert,, EconomicOperand
household assets,Fig.., EconomicOperand
US Fig.. , EconomicOperand
household financial needs, EconomicOperand
‘household investments’, EconomicOperand
HQLA see high-quality liquid assets, EconomicOperand
HSBC Bank,, EconomicOperand
H-statistic,, EconomicOperand
Hughes, Joseph P.,,, EconomicOperand
human capital, EconomicOperand
Humphrey, David,, EconomicOperand
Hungary,,,,,,,,, EconomicOperand
hybrid mortgages, EconomicOperand
Hyderabad microfinance study, EconomicOperand
Hypo Real, EconomicOperand
Hypo-Alde-Adria, EconomicOperand
HypoVereinsbank,,, EconomicOperand
IBM, EconomicOperand
Iceland, EconomicOperand
and GFC,,,, EconomicOperand
tax rates, EconomicOperand
ICICI private bank, EconomicOperand
idiosyncratic risk,,,,,, EconomicOperand
IKB Deutsche Industriebank, Germany,, EconomicOperand
illiquidity:, EconomicOperand
and bank failures, EconomicOperand
vs. insolvency, EconomicOperand
measure, EconomicOperand
view of contagion, EconomicOperand
IMF see International Monetary Fund, EconomicOperand
incentive conflicts, EconomicOperand
incentive structures, EconomicOperand
incentive systems, EconomicOperand
income distribution and poverty, EconomicOperand
Incremental Risk Charge (IRC), EconomicOperand
Independent Commission on Banking see Vickers Commission, EconomicOperand
India,,,,,,,,, EconomicOperand
bank branch extension, EconomicOperand
bank performance, EconomicOperand
cream-skimming by foreign banks, EconomicOperand
Indonesia,,,,,,,, EconomicOperand
bank restricting , EconomicOperand
microfinance, EconomicOperand
Industrial and Commercial Bank of China,, EconomicOperand
Industrial Bank of Japan, EconomicOperand
industrial development, and universal banking, EconomicOperand
Industrial Revolution ( nd, EconomicOperand
IndyMac Bank, US,, EconomicOperand
inflation, post-transition, EconomicOperand
inflation targeting,,, EconomicOperand
information asymmetries see asymmetrical information, EconomicOperand
information-sharing, and competition, EconomicOperand
information technology (IT),,,,,,,, EconomicOperand
hard and soft,,,,, EconomicOperand
informational cascades, EconomicOperand
ING bank, Netherlands,,,, EconomicOperand
initial public offerings (IPOs),,, EconomicOperand
inside debt, EconomicOperand
insider trading, EconomicOperand
insolvency frameworks among countries,Tab.. , EconomicOperand
insolvency risk,,,,,,, EconomicOperand
instalment credit, EconomicOperand
interbank connections,,, EconomicOperand
interbank credit lines,, EconomicOperand
interbank deposits,,,,,,, EconomicOperand
interbank lending exposures, EconomicOperand
interbank markets, EconomicOperand
and liquidity freeze, EconomicOperand
stability, EconomicOperand
interbank payment systems, EconomicOperand
interbank wholesale funding,, EconomicOperand
interest margins,,,,,, EconomicOperand
interest rates,,,, EconomicOperand
intermediary leverage cycles, EconomicOperand
intermediated finance,,, EconomicOperand
Japan, EconomicOperand
intermediated loans,, EconomicOperand
intermediation chain,,Fig.. , EconomicOperand
Internal Ratings Based (IRB) approaches,, EconomicOperand
inputs to the risk-weight formula, EconomicOperand
theoretical foundations, EconomicOperand
International Accounting Standards Board (IASB), EconomicOperand
International Association of Insurance Supervisors (IAIS), EconomicOperand
international bank mergers, EconomicOperand
bank-specific factors, EconomicOperand
barriers and misuse of power, EconomicOperand
and competitive structures, EconomicOperand
by continent Tab.. , EconomicOperand
determinants,, EconomicOperand
domestic/foreign-owned bank efficiency, EconomicOperand
efficiency and competition effects, EconomicOperand
event studies, EconomicOperand
follow-your-customer strategy, EconomicOperand
information costs, EconomicOperand
macroeconomic factors, EconomicOperand
policy issues, EconomicOperand
rarity of, EconomicOperand
regulations, EconomicOperand
risk effects, EconomicOperand
and Societas Europaea, EconomicOperand
success linked to size and profitability, EconomicOperand
by year Fig... , EconomicOperand
International Financial Institutions (IFIs), EconomicOperand
International Financial Reporting Standards (IFRS), EconomicOperand
International Harvester, EconomicOperand
International Monetary Fund (IMF),,,,,,,,,,, EconomicOperand
and Asian financial crisis, EconomicOperand
credit boom analysis, EconomicOperand
World Economic Outlook , EconomicOperand
International Organization of Securities Commissions (IOSCO),, EconomicOperand
International Swap Dealers Association (ISDA) Master Contracts, EconomicOperand
Internet banking,,, EconomicOperand
Internet-only (Internet-primary) banking,, EconomicOperand
intertemporal smoothing, EconomicOperand
intertemporal tax subsidy schemes, EconomicOperand
Intesa, EconomicOperand
Investment Company Act US, EconomicOperand
IPOs see initial public offerings, EconomicOperand
IRB approaches see Internal Ratings Based approaches, EconomicOperand
Ireland, EconomicOperand
bailout, EconomicOperand
and sovereign debt crisis,,,,, EconomicOperand
tax rates, EconomicOperand
Israel, EconomicOperand
diversification, EconomicOperand
Italy,, EconomicOperand
competition-fragility, EconomicOperand
diversification, EconomicOperand
early banking houses, EconomicOperand
financial crisis , EconomicOperand
impact of Second European Banking Directive on competition, EconomicOperand
interbank market, EconomicOperand
local loan markets, EconomicOperand
mergers and acquisitions, and loan rates, EconomicOperand
number of bank branches, EconomicOperand
online banking, EconomicOperand
public credit registries, EconomicOperand
small business lending, EconomicOperand
